"Meinerzhagen, W 3","-79","95"
"StrUeb2823_2843_1","-48","79"
"Hamm (Westf) Rbf, W 7","-22","111"
"Hamm (Westf) Rbf, W 12","-22","111"
"Abzw Hamm Feldmark, W 1, W 1","-22","-9"
"Hamm (Westf), W 926","-22","111"
"Herdecke","-50","73"
"Westhofen (Westf)","-220","155"
"Hagen-Vorhalle","-51","71"
"Wetter (Ruhr)","-51","69"
"Düsseldorf-Gerresheim","-66","15"
"Düsseldorf Hbf","-68","9"
"Düsseldorf-Benrath","-74","18"
"Düsseldorf-Eller","-180","44"
"Hilden","-73","24"
"Düsseldorf-Rath","-2630","7287"
"Wuppertal-Steinbeck","45","99"
"Wuppertal Zoologischer Garten","-66","41"
"Solingen Hbf","-74","30"
"Solingen Vogelpark","-74","28"
"Leichlingen","-80","31"
"Opladen","-239","-99"
"Schwerte (Ruhr) Ost","-47","87"
"Hagen-Kabel","-102","-73"
"Gummersbach","-87","86"
"Overath","-97","58"
"Remscheid Hbf","-72","50"
"Castrop-Rauxel Hbf","-33","60"
"Herne","-118","-267"
"Bottrop Hbf","-39","24"
"Dortmund-Scharnhorst","-34","85"
"Witten Hbf","-46","63"
"Dortmund Dortmunderfeld","-39","74"
"Dortmund-Eving","-34","76"
"Dortmund Süd","-39","77"
"Bochum-Riemke Hp","-38","51"
"Wanne-Eickel Hbf","-37","47"
"Marl-Sinsen","803","409"
"Recklinghausen Hbf","-28","50"
"Duisburg-Wedau Bissingheim","-51","11"
"Bochum-Hamme","-80","-256"
"Bochum Hbf","-42","52"
"Wattenscheid","-43","45"
"Essen West","-45","28"
"Bochum-Dahlhausen","-47","45"
"Gelsenkirchen-Rotthausen","-41","38"
"Wengern Ost","-50","65"
"Friedrichsfeld (Niederrhein)","-27","-4"
"Essen-Überruhr","-47","38"
"Emmerich","-6","-46"
"Duisburg-Ruhrort Hafen","-43","7"
"Marl-Hamm","-23","112"
"Duisburg-Rahm","-96","25"
"Holzwickede","-40","92"
"Unna","-36","99"
"Duisburg Lotharstraße","-48","9"
"Dortmund-Körne West","-39","80"
"Duisburg Ruhrtal","-47","5"
"Dortmund-Dorstfeld (tief)","-39","72"
"Rheinhausen","-367","101"
"Herzogenrath","-102","-59"
"Mönchengladbach Hbf","-70","-25"
"Rommerskirchen","-87","-1"
"Kohlscheid","-107","-61"
"Bedburg (Erft)","-90","-14"
"Köln-Worringen","-84","17"
"Köln-Longerich","-90","22"
"Köln Bbf","-95","25"
"Köln Süd","-97","24"
"Köln Eifeltor","-101","22"
"Neuss Süd","-71","-1"
"Köln-Kalk","-97","33"
"Porz-Wahn","96","67"
"Weißenberg","-70","796"
"Köln-Mülheim Berliner Straße","-93","31"
"Köln Gummersbacher Straße","-96","29"
"Münster (Westf) Hbf","6","93"
"Münster (Westf) Kanal","19","100"
"Köln Bruder Klaus Siedlung","-92","31"
"Krefeld-Linn","-56","-5"
"Köln/Bonn Flughafen","-103","44"
"Köln Steinstraße (Abzw)","-100","36"
"Dortmund-Dorstfeld (S-Bahn)","-39","72"
"Dortmund-Dorstfeld (hoch)","-39","72"
"Oberhausen West Orm","-41","18"
"Troisdorf Nord","-108","44"
"Witten Streckenwechsel 2143/2144","-50","65"
"Oberh-Osterfeld, W 323","-41","16"
"Oberhausen Mathilde","-38","15"
"Meerbusch-Osterath","-63","-8"
"Krefeld Lohbruch","-52","-16"
"Krefeld-Uerdingen","-55","-6"
"Bochum Nord","-39","57"
"Gelsenkirchen Streckenwechsel 2172/2230","-38","38"
"Essen-Katernberg Nord Anst","-40","33"
"StrUeb2230_2232","-37","47"
"Gevelsberg West","-58","61"
"StrUeb2153_2194","-42","51"
"Hagen-Eckesey","-52","76"
"Hagen-Heubing","-55","72"
"Rommerskirchen DB-Grenze","-53","-53"
"Siegburg/Bonn","-111","50"
"Leverkusen Werkstätte","-85","32"
"Remscheid-Lennep","-71","57"
"Aachen West, W 141","-112","-63"
"Essen-Werden","-51","30"
"Duisburg-Mühlenberg","-233","-86"
"Köln-Kalk Vingst","-97","32"
"Aachen-Rothe Erde","-112","-58"
"Aachen-Rothe Erde, Gl 14, W 3","-112","-58"
"Wuppertal-Dornap DB-Grenze","-65","37"
"Wuppertal-Dornap Abzw","-65","36"
"Bocholt Streckenwechsel 2263/2265","-7","-8"
"StrUeb2150_2160","-42","52"
"W 397","-47","41"
"Oberhausen West, W 187","-41","16"
"Abzw Hardt, W 303","-97","90"
"Köln-Kalk Nord, W 620","-95","31"
"Düsseldorf Flughafen Terminal, W 884","-62","7"
"Hamm (Westf) Rbf, W 136","-22","111"
"Düsseldorf Streckenwechsel 2410/2411","-69","10"
"Haan-Gruiten","-68","31"
"Linderhausen","-59","59"
"Fröndenberg","-43","107"
"Leverkusen-Manfort","-87","32"
"Remscheid Güldenwerth","-73","46"
"Wuppertal Linden","-67","54"
"Castrop-Rauxel Süd","-35","61"
"Dortmund-Mengede","-33","69"
"Recklinghausen Süd","-33","51"
"Essen-Kray Nord","-43","38"
"Essen-Kray Süd Abzw","-44","38"
"Dortmund Buschstraße","-36","70"
"Duisburg Sigle","-47","8"
"Bochum Stockumer Straße","-43","63"
"Baukau","-35","50"
