"Streckennummer","Streckenabschnitt","Gleisart", "Länge","Höchstgeschwindigkeit","Bremsweg"
"2632","Hürth-Kalscheuren, W 62 - Hürth-Kalscheuren","eingleisig","0,2","auf Anfrage","auf Anfrage"
"2668","Köln Messe/Deutz, W 631 - Köln Deutzerfeld","eingleisig","0,8","40","400 m Bremsweg"
"2142","Bochum-Langendreer - Bochum-Langendreer, 55W87","Gegengleis","0,5","60","1000 m Bremsweg"
"2142","Bochum-Langendreer - Bochum-Langendreer, 55W87","Richtungsgleis","0,5","60","1000 m Bremsweg"
"2310","StrUeb2310_2311 - Duisburg Hbf, 32W600","eingleisig","0,1","70","1000 m Bremsweg"
"2414","Düsseldorf Hbf, W 52 - Düsseldorf Abstellbahnhof, W 4 (Wechselgleis)","Gegengleis","2,1","40","700 m Bremsweg"
"2414","Düsseldorf Hbf, W 52 - Düsseldorf Abstellbahnhof, W 4 (Wechselgleis)","Richtungsgleis","2,1","40","700 m Bremsweg"
"2701","StrUeb2143_2701 - Schwelm, W 427","eingleisig","0,1","100","700 m Bremsweg"
"2701","Wuppertal-Oberbarmen, W 117 - StrUeb2700_2701","eingleisig","0,7","40","700 m Bremsweg"
"2204","Wanne-Eickel Hbf, W 636 - Wanne-Eickel Bro","eingleisig","0,7","40","700 m Bremsweg"
"2100","Lünen Preußen - Lünen Preußen, W 353","Gegengleis","1,1","120","1000 m Bremsweg"
"2100","Lünen Preußen - Lünen Preußen, W 353","Richtungsgleis","1,1","120","1000 m Bremsweg"
"2100","Lünen Preußen, W 353 - Lünen Hbf, W 441","Gegengleis","1,4","120","1000 m Bremsweg"
"2100","Lünen Preußen, W 353 - Lünen Hbf, W 441","Richtungsgleis","1,4","120","1000 m Bremsweg"
"2132","Dortmund-Obereving - Dortmund-Obereving, W 36","Gegengleis","0,0","80","1000 m Bremsweg"
"2132","Dortmund-Obereving - Dortmund-Obereving, W 36","Richtungsgleis","0,0","80","1000 m Bremsweg"
"2103","Dortmund Dfd - StrUeb2103_2120_1","Gegengleis","2,2","110","1000 m Bremsweg"
"2103","Dortmund Dfd - StrUeb2103_2120_1","Richtungsgleis","2,2","110","1000 m Bremsweg"
"2103","Dortmund Signal Iduna Park - Dortmund Signal Iduna Park, W205","Gegengleis","0,2","120","1000 m Bremsweg"
"2103","Dortmund Signal Iduna Park - Dortmund Signal Iduna Park, W205","Richtungsgleis","0,2","120","1000 m Bremsweg"
"2650","Dortmund Hbf - Dortmund Hbf, W 255","Gegengleis","0,4","80","1000 m Bremsweg"
"2650","Dortmund Hbf - Dortmund Hbf, W 255","Richtungsgleis","0,4","80","1000 m Bremsweg"
"2112","Unna-Königsborn - Unna-Königsborn, W 746","Gegengleis","0,5","60","1000 m Bremsweg"
"2112","Unna-Königsborn - Unna-Königsborn, W 746","Richtungsgleis","0,5","60","1000 m Bremsweg"
"2112","Unna-Königsborn, W 746 - Massen","Gegengleis","2,8","120","1000 m Bremsweg"
"2112","Unna-Königsborn, W 746 - Massen","Richtungsgleis","2,8","120","1000 m Bremsweg"
"2126","Dortmund-Dorstfeld - Dortmund-Dorstfeld, W 58","eingleisig","0,7","100","1000 m Bremsweg"
"2126","Dortmund-Dorstfeld, W 58 - Dortmund West","Gegengleis","0,1","100","1000 m Bremsweg"
"2126","Dortmund-Dorstfeld, W 58 - Dortmund West","Richtungsgleis","0,1","100","1000 m Bremsweg"
"2158","Bochum-Langendreer, 55W4 - Dortmund-Lütgendortmund","Gegengleis","5,5","160","1000 m Bremsweg"
"2158","Bochum-Langendreer, 55W4 - Dortmund-Lütgendortmund","Richtungsgleis","5,5","160","1000 m Bremsweg"
"2701","Wuppertal-Langerfeld - StrUeb2143_2701","eingleisig","3,7","100","700 m Bremsweg"
"2190","Bochum-Langendreer (S-Bahn) - StrUeb2146_2190","Gegengleis","0,4","120","1000 m Bremsweg"
"2190","Bochum-Langendreer (S-Bahn) - StrUeb2146_2190","Richtungsgleis","0,4","120","1000 m Bremsweg"
"2190","StrUeb2146_2190 - Dortmund-Kley","Gegengleis","2,9","120","1000 m Bremsweg"
"2190","StrUeb2146_2190 - Dortmhed-Kley","Richtungsgleis","2,9","120","1000 m Bremsweg"
"2153","StrUeb2152_2153_1 - Bochum-Riemke","Gegengleis","0,6","80","1000 m Bremsweg"
"2153","StrUeb2152_2153_1 - Bochum-Riemke","Richtungsgleis","0,6","80","1000 m Bremsweg"
"2153","Herne-Rottbruch W 506 - Herne-Rottbruch","Gegengleis","0,2","80","1000 m Bremsweg"
"2153","Herne-Rottbruch W 506 - Herne-Rottbruch","Richtungsgleis","0,2","80","1000 m Bremsweg"
"2153","Wanne Unser Fritz, W 12 - Gelsenkirchen Zoo","Gegengleis","1,9","90","1000 m Bremsweg"
"2153","Wanne Unser Fritz, W 12 - Gelsenkirchen Zoo","Richtungsgleis","1,9","90","1000 m Bremsweg"
"2153","Gelsenkirchen-Bismarck - StrUeb2153_2236","Gegengleis","0,8","90","1000 m Bremsweg"
"2153","Gelsenkirchen-Bismarck - StrUeb2153_2236","Richtungsgleis","0,8","90","1000 m Bremsweg"
"2153","StrUeb2153_2236 - Gelsenkirchen Nordstern","Gegengleis","2,5","90","1000 m Bremsweg"
"2153","StrUeb2153_2236 - Gelsenkirchen Nordstern","Richtungsgleis","2,5","90","1000 m Bremsweg"
"2291","Essen Hbf - StrUeb2164_2291","Gegengleis","0,4","140","1000 m Bremsweg"
"2291","Essen Hbf - StrUeb2164_2291","Richtungsgleis","0,4","140","1000 m Bremsweg"
"2208","Wanne-Eickel Hbf, W 656 - Herne","Gegengleis","2,3","60","700 m Bremsweg"
"2208","Wanne-Eickel Hbf, W 656 - Herne","Richtungsgleis","2,3","60","700 m Bremsweg"
"2208","Wanne-Eickel Hbf, W 636 - Wanne-Eickel Hbf, W 656","Gegengleis","0,2","40","700 m Bremsweg"
"2208","Wanne-Eickel Hbf, W 636 - Wanne-Eickel Hbf, W 656","Richtungsgleis","0,2","40","700 m Bremsweg"
"2206","Bottrop Süd - Bottrop Süd, W 24","Gegengleis","0,1","80","700 m Bremsweg"
"2206","Bottrop Süd - Bottrop Süd, W 24","Richtungsgleis","0,1","80","700 m Bremsweg"
"2206","Oberhausen-Osterfeld - Oberh-Osterfeld, W 323","Gegengleis","0,6","60","1000 m Bremsweg"
"2206","Oberhausen-Osterfeld - Oberh-Osterfeld, W 323","Richtungsgleis","0,6","60","700 m Bremsweg"
"2650","Dortmund-Nette - StrUeb2210_2650","Gegengleis","6,3","140","1000 m Bremsweg"
"2650","Dortmund-Nette - StrUeb2210_2650","Richtungsgleis","6,3","140","1000 m Bremsweg"
"2650","StrUeb2210_2650 - Dortmund Hbf","Gegengleis","0,5","80","1000 m Bremsweg"
"2650","StrUeb2210_2650 - Dortmund Hbf","Richtungsgleis","0,5","80","1000 m Bremsweg"
"2239","Gelsenkirchen Hbf - Wanne-Eickel Hbf, W 25","eingleisig","4,7","80","700 m Bremsweg"
"2250","Bottrop Hbf, W 172 - Bottrop-Boy","Gegengleis","1,9","110","1000 m Bremsweg"
"2250","Bottrop Hbf, W 172 - Bottrop-Boy","Richtungsgleis","1,9","110","1000 m Bremsweg"
"2250","Gladbeck West - Gladbeck West, 50W31","Gegengleis","0,3","110","1000 m Bremsweg"
"2250","Gladbeck West - Gladbeck West, 50W31","Richtungsgleis","0,3","110","1000 m Bremsweg"
"2250","Gladbeck West, 50W31 - Gelsenkirchen-Buer Nord","Gegengleis","4,8","110","1000 m Bremsweg"
"2250","Gladbeck West, 50W31 - Gelsenkirchen-Buer Nord","Richtungsgleis","4,8","110","1000 m Bremsweg"
"2250","Gelsenkirchen-Buer Nord - StrUeb2250_2252","Gegengleis","0,2","100","1000 m Bremsweg"
"2250","Gelsenkirchen-Buer Nord - StrUeb2250_2252","Richtungsgleis","0,2","100","1000 m Bremsweg"
"2250","StrUeb2250_2252 - Westerholt","Gegengleis","3,3","100","1000 m Bremsweg"
"2250","StrUeb2250_2252 - Westerholt","Richtungsgleis","3,3","100","1000 m Bremsweg"
"2250","Lünen Süd - Lünen Süd, 62W205","Gegengleis","0,5","90","1000 m Bremsweg"
"2250","Lünen Süd - Lünen Süd, 62W205","Richtungsgleis","0,5","90","1000 m Bremsweg"
"2250","Lünen Süd, 62W205 - Horstmar","Gegengleis","1,2","90","1000 m Bremsweg"
"2250","Lünen Süd, 62W205 - Horstmar","Richtungsgleis","1,2","90","1000 m Bremsweg"
"2271","StrUeb2271_2321 - Oberhausen-Buschhausen","eingleisig","2,1","80","700 m Bremsweg"
